date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:22:53	146/146	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Feb%202025%2003:22:53%20GMT	https://web.archive.org/robots.txt		(from )
06:22:53	5070/5070	U--MCZ	200	updated ('OK')	text/html	date:Sun,%2009%20Feb%202025%2003:22:53%20GMT	https://web.archive.org/web/20220113053809/https://krnl.ca/	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113053809/https_/krnl.ca/index.html	(from )
06:22:54	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2009%20Feb%202025%2003:22:54%20GMT	https://web.archive.org/web/20220113053809cs_/https://krnl.ca/css/css-style.css	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113053809cs_/https_/krnl.ca/css/css-style.css	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:54	24228/24228	U--MCZ	200	updated ('OK')	application/javascript	date:Tue,%2004%20Feb%202025%2021:00:15%20GMT	https://web-static.archive.org/_static/js/bundle-playback.js?v=7YQSqjSh	C:/My%20Web%20Sites/KRNL/web-static.archive.org/_static/js/bundle-playback2c8b.js	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:54	126763/126763	U--MCZ	200	updated ('OK')	application/javascript	date:Tue,%2004%20Feb%202025%2021:00:52%20GMT	https://web-static.archive.org/_static/js/wombat.js?v=txqj7nKC	C:/My%20Web%20Sites/KRNL/web-static.archive.org/_static/js/wombat9b8c.js	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:55	9868/9868	U--MCZ	200	updated ('OK')	text/css	date:Tue,%2004%20Feb%202025%2021:00:41%20GMT	https://web-static.archive.org/_static/css/banner-styles.css?v=p7PEIJWi	C:/My%20Web%20Sites/KRNL/web-static.archive.org/_static/css/banner-styles3ae1.css	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:55	344533/344533	U--MCZ	200	updated ('OK')	application/javascript	date:Tue,%2004%20Feb%202025%2021:00:15%20GMT	https://web-static.archive.org/_static/js/ruffle/ruffle.js	C:/My%20Web%20Sites/KRNL/web-static.archive.org/_static/js/ruffle/ruffle.js	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:55	5649/5649	U-----	200	untouched ('OK')	text/css	date:Tue,%2004%20Feb%202025%2021:00:46%20GMT	https://web-static.archive.org/_static/css/iconochive.css?v=3PDvdIFv	C:/My%20Web%20Sites/KRNL/web-static.archive.org/_static/css/iconochive29a7.css	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:56	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2009%20Feb%202025%2003:22:56%20GMT	https://web.archive.org/web/20220113053809cs_/https://krnl.ca/css/mainpage.css	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113053809cs_/https_/krnl.ca/css/mainpage.7.delayed	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:56	83749/83749	U--MCZ	200	updated ('OK')	text/css	date:Sun,%2009%20Feb%202025%2003:22:56%20GMT	https://web.archive.org/web/20220113235233cs_/https://krnl.ca/css/css-style.css	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113235233cs_/https_/krnl.ca/css/css-style.css	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:56	7527/7527	U--MCZ	200	updated ('OK')	text/css	date:Sun,%2009%20Feb%202025%2003:22:57%20GMT	https://web.archive.org/web/20220113235232cs_/https://krnl.ca/css/mainpage.css	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113235232cs_/https_/krnl.ca/css/mainpage.css	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:57	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2009%20Feb%202025%2003:22:57%20GMT	https://web.archive.org/web/20220113053809cs_/https://krnl.ca/css/Team-Boxed.css	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113053809cs_/https_/krnl.ca/css/Team-Boxed.9.delayed	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:58	1838/1838	U--MCZ	200	updated ('OK')	text/css	date:Sun,%2009%20Feb%202025%2003:22:58%20GMT	https://web.archive.org/web/20220113235232cs_/https://krnl.ca/css/Team-Boxed.css	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113235232cs_/https_/krnl.ca/css/Team-Boxed.css	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:22:59	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2009%20Feb%202025%2003:23:00%20GMT	https://web.archive.org/web/20220113053809im_/https://cdn.discordapp.com/attachments/756373435726168104/769299914332962886/krnlmain.png	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113053809im_/https_/cdn.discordapp.com/attachments/756373435726168104/769299914332962886/krnlmain.png	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:23:00	5996/5996	U-----	200	untouched ('')	image/png	date:Sun,%2009%20Feb%202025%2001:37:05%20GMT	https://web.archive.org/web/20220113235233im_/https://cdn.discordapp.com/attachments/756373435726168104/769299914332962886/krnlmain.png	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113235233im_/https_/cdn.discordapp.com/attachments/756373435726168104/769299914332962886/krnlmain.png	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
06:23:01	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2009%20Feb%202025%2003:23:01%20GMT	https://web.archive.org/web/20220113053809/https://krnl.ca/faq	C:/My%20Web%20Sites/KRNL/web.archive.org/web/20220113053809/https_/krnl.ca/faq	(from https://web.archive.org/web/20220113053809/https://krnl.ca/)
